Age,Gender,Annual_Income_USD,City_Type,Daily_Commute_km,Number_of_Cars_Owned,Current_Car_Type,Charging_Stations_Near_Home,Charging_Stations_Near_Work,Home_Charging_Possible,Environmental_Concern_Level,Subsidy_Available,Range_Anxiety_Level,Total_Charging_Stations,Income_Per_Car,Long_Commute,High_Environment,High_Range_Anxiety,Home_Charging,Government_Support,Charging_Access,Income_Environment,Commute_Range,Will_Buy_EV
56,1,44906.0,0,18.1,1.0,3,1,0,1,4.0,1,1,1,22453.0,0,1,1,1,1,0.6,224530.0,36.2,0
36,1,88754.0,0,5.0,1.0,1,2,3,1,1.0,1,1,5,44377.0,0,0,1,1,1,2.4000000000000004,177508.0,10.0,0
42,1,155958.0,2,32.2,2.0,2,14,3,0,2.0,1,1,17,51986.0,0,0,1,0,1,9.600000000000001,467874.0,64.4,1
31,1,37059.0,0,89.9,1.0,2,2,1,1,4.0,0,1,3,18529.5,1,1,1,1,0,1.6,185295.0,179.8,0
48,0,48552.0,0,71.0,1.0,2,2,0,1,3.0,1,1,2,24276.0,1,1,1,1,1,1.2,194208.0,142.0,0
36,1,65370.0,2,75.7,2.0,1,6,8,1,5.0,1,1,14,21790.0,1,1,1,1,1,6.8,392220.0,151.4,0
34,0,128669.0,0,85.4,1.0,0,2,2,1,5.0,1,1,4,64334.5,1,1,1,1,1,2.0,772014.0,170.8,1
38,1,93811.0,2,12.0,3.0,0,14,10,0,2.0,1,1,24,23452.75,0,0,1,0,1,12.4,281433.0,24.0,0
65,0,104837.0,2,40.6,2.0,3,13,3,0,3.0,1,1,16,34945.666666666664,1,1,1,0,1,9.0,419348.0,81.2,1
29,0,87121.0,1,42.9,2.0,1,5,2,1,5.0,0,1,7,29040.333333333332,1,1,1,1,0,3.8,522726.0,85.8,0
65,2,88554.0,2,45.0,2.0,0,8,8,1,3.0,0,1,16,29518.0,1,1,1,1,0,8.0,354216.0,90.0,0
